등록번호,학원명,지역,주소,학년상태,공시학년,과목별학년,이전공개학년,등록근거,보류문구,후기검토단서,기존순위대상,점검일
3000038306,논술화랑잠실학원,jamsil,서울특별시 송파구 올림픽로 145,미확인,,"{""etc"": """"}","초등저학년, 고등",[],[],"{""elem_low"": 5, ""high"": 7}",예,2026-09-19
24201,루나잉글리쉬학원,jamsil,서울특별시 송파구 올림픽로 435,미확인,,"{""english"": """"}",고등,[],[],"{""middle"": 4, ""high"": 5, ""elem_high"": 1, ""elem_low"": 1}",예,2026-09-19
23313,리틀쇼팽음악학원,jamsil,서울특별시 송파구 올림픽로 119,미확인,,"{""arts"": """"}",초등저학년,[],[],{},예,2026-09-19
3000051205,메디컬수학연구소학원,jamsil,서울특별시 송파구 석촌호수로 133,미확인,,"{""math"": """"}",중등,[],[],"{""elem_high"": 2, ""middle"": 5, ""high"": 2}",예,2026-09-19
3000029329,미술로생각하기학원,jamsil,서울특별시 송파구 올림픽로 119,미확인,,"{""etc"": """"}",초등저학년,[],[],"{""elem_low"": 8, ""high"": 3}",예,2026-09-19
1000029118,바로크음악학원,jamsil,서울특별시 송파구 올림픽로35길 10,미확인,,"{""arts"": """"}",,[],[],"{""elem_high"": 1, ""elem_low"": 2}",예,2026-09-19
3000051800,송파청솔학원,jamsil,서울특별시 송파구 백제고분로 463,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 15, ""elem_low"": 1}",예,2026-09-19
3000020539,아트링크도예학원,jamsil,서울특별시 송파구 백제고분로11길 6-5,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 1, ""high"": 2, ""middle"": 2}",예,2026-09-19
3000034638,알과영과학,jamsil,서울특별시 송파구 양재대로71길 1-20,미확인,,"{""science"": """"}",,[],[],"{""high"": 3, ""middle"": 3}",예,2026-09-19
3000025561,청어람,jamsil,서울특별시 송파구 위례성대로16길 7,미확인,,"{""math"": """", ""general"": """"}","초등고학년, 중등, 고등",[],[],"{""middle"": 20, ""elem_low"": 3, ""high"": 12, ""elem_high"": 9}",예,2026-09-19
22514,청어람수,jamsil,서울특별시 송파구 위례성대로 34,미확인,,"{""general"": """"}","초등고학년, 중등, 고등",[],[],{},예,2026-09-19
1000028284,클래식음악,jamsil,서울특별시 송파구 양재대로 1222,미확인,,"{""arts"": """"}",,[],[],"{""high"": 1}",예,2026-09-19
3000056260,팬그램학원,jamsil,서울특별시 송파구 위례성대로 136,미확인,,"{""general"": """", ""english"": """"}",초등저학년,[],[],"{""elem_low"": 26, ""elem_high"": 1, ""middle"": 1, ""high"": 1}",예,2026-09-19
26956,한맥국어,jamsil,서울특별시 송파구 위례성대로 126,미확인,,"{""korean"": """"}","중등, 고등",[],[],"{""high"": 11, ""middle"": 8, ""elem_low"": 1, ""elem_high"": 1}",예,2026-09-19
3000043059,감성피아노음악학원,mokdong,서울특별시 양천구 신목로 78,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 1, ""high"": 1}",예,2026-09-19
3000023780,강대학원,mokdong,서울특별시 양천구 목동동로 427,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 122, ""middle"": 16, ""elem_high"": 3}",예,2026-09-19
1000031310,길벗아카데미학원,mokdong,서울특별시 양천구 목동중앙서로 22-1,미확인,,"{""general"": """", ""math"": """", ""english"": """"}",고등,[],[],"{""high"": 13, ""middle"": 4}",예,2026-09-19
3000014307,다원교육학원,mokdong,서울특별시 양천구 목동서로 67,미확인,,"{""general"": """", ""math"": """", ""science"": """"}","중등, 고등",[],[],"{""high"": 5, ""middle"": 11, ""elem_high"": 3}",예,2026-09-19
14281,돌체음악학원,mokdong,서울특별시 양천구 목동동로12길 20,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 2}",예,2026-09-19
3000033734,디랩코딩학원,mokdong,서울특별시 양천구 목동동로 339,미확인,,"{""etc"": """"}",,[],[],"{""elem_low"": 2, ""middle"": 2, ""high"": 1}",예,2026-09-19
3000043413,라실용음악학원,mokdong,서울특별시 양천구 목동중앙서로 36-12,미확인,,"{""arts"": """"}",,[],[],"{""high"": 3, ""middle"": 1, ""elem_high"": 1}",예,2026-09-19
2928,라엘음악학원,mokdong,서울특별시 양천구 신정로7길 60-2,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 4, ""elem_high"": 1}",예,2026-09-19
3000029236,리젠영어학원,mokdong,서울특별시 양천구 오목로 279,미확인,,"{""english"": """"}","중등, 고등",[],[],"{""high"": 11, ""middle"": 9, ""elem_high"": 3, ""elem_low"": 1}",예,2026-09-19
3000029206,목동그린섬미술학원,mokdong,서울특별시 양천구 오목로56길 14,미확인,,"{""arts"": """"}",고등,[],[],"{""high"": 2, ""middle"": 2}",예,2026-09-19
24356,목동로드맵학원,mokdong,서울특별시 양천구 오목로 299,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 12, ""middle"": 2}",예,2026-09-19
3000036526,목동시대인재학원,mokdong,서울특별시 양천구 목동서로 225,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","중등, 고등",[],[],"{""high"": 53, ""elem_high"": 4, ""elem_low"": 1, ""middle"": 16}",예,2026-09-19
3000011471,목동씨사이트학원,mokdong,서울특별시 양천구 오목로50길 27,미확인,,"{""general"": """", ""korean"": """"}",고등,[],[],"{""high"": 53}",예,2026-09-19
9877,목동아이비리그학원,mokdong,서울특별시 양천구 목동중앙본로7길 37-15,미확인,,"{""general"": """", ""math"": """", ""english"": """"}","중등, 고등",[],[],"{""high"": 7, ""elem_low"": 3, ""middle"": 8}",예,2026-09-19
13557,목동아이비학원,mokdong,서울특별시 양천구 오목로 224,미확인,,"{""general"": """", ""english"": """"}","중등, 고등",[],[],"{""high"": 7, ""middle"": 9, ""elem_low"": 2}",예,2026-09-19
25432,목동야마하음악학원,mokdong,서울특별시 양천구 오목로 300,미확인,,"{""arts"": """"}",,[],[],"{""high"": 2, ""elem_low"": 4}",예,2026-09-19
3000026426,목동위드피아노학원,mokdong,서울특별시 양천구 목동로 218,미확인,,"{""arts"": """"}",고등,[],[],"{""high"": 6, ""elem_low"": 1}",예,2026-09-19
3000051729,목동이화무용학원,mokdong,서울특별시 양천구 목동서로 285,미확인,,"{""arts"": """"}",,[],[],"{""middle"": 1}",예,2026-09-19
2088,목동탑앤탑학원,mokdong,서울특별시 양천구 오목로52길 9,미확인,,"{""general"": """", ""math"": """"}",,[],[],"{""high"": 3, ""elem_high"": 3, ""middle"": 2}",예,2026-09-19
3000041168,목동피드백학원,mokdong,서울특별시 양천구 목동동로 65,미확인,,"{""general"": """", ""math"": """", ""english"": """"}","초등고학년, 중등, 고등",[],[],"{""high"": 31, ""middle"": 19, ""elem_high"": 10, ""elem_low"": 3}",예,2026-09-19
3000043651,범연기학원,mokdong,서울특별시 양천구 목동로 177,미확인,,"{""etc"": """"}",,[],[],"{""high"": 1}",예,2026-09-19
3000038195,브레노스,mokdong,서울특별시 양천구 목동동로 339,미확인,,"{""korean"": """", ""general"": """"}",초등저학년,[],[],"{""middle"": 1, ""elem_low"": 29, ""high"": 5, ""elem_high"": 3}",예,2026-09-19
3000012627,브레인스쿨학원,mokdong,서울특별시 양천구 오목로 299,미확인,,"{""etc"": """"}","초등저학년, 고등",[],[],{},예,2026-09-19
